cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
3601741000205;ASSOCIACAO BIBLICA E CULTURAL DE MOSSORO;Não Informado;3220;2014-07-16;Ativa;RUA FORTALEZA88, NORDESTE, Areia Branca, RN, 59655000;2401107.0;AREIA BRANCA;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4447953000153;ASSOCIACAO DO ASSENTAMENTO SITIO BAIXA VERDE;Não Informado;3999;2001-05-20;Inapta;RUA PROJETADAS/N, SITIO BAIXA VERDE, ZONA RURAL, Baraúna, RN, 59695000;2401453.0;BARAÚNA;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4465730000119;ASSOCIACAO DO PROJETO DE ASSENTAMENTO UIRAPURU;Não Informado;3999;2000-11-17;Ativa;NA ASSENTAMENTO UIRAPURUS/N, ZONA RURAL, Tangará, RN, 59240000;2414001.0;TANGARÁ;RN;94308;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4506935000103;ASSOC. DE PRODUT. RURAIS E MORADORES P/RENASCENCA DE CATOLE/;ASSOCIACAO RENASCENCA;3999;2001-06-11;Inapta;RUA FRANCISCO ANTONIOS/N, SITIO DE CHICO ADAO, DISTRITO CATOLE, Rio do Fogo, RN, 59578000;2408953.0;RIO DO FOGO;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5911430000189;ASSOCIACAO FAMILIAR DOS PRODUTORES RURAIS DA FAZENDA NOVA ESPERANCA;Não Informado;3999;2003-10-07;Ativa;SITIO SALAOS/N, ZONA RURAL, Caraúbas, RN, 59780000;2402303.0;CARAÚBAS;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6004570000136;ASSOCIACAO COMUNITARIA DE DESENVOLVIMENTO DOS PEQUENOS PRODUTORES DA LOCALIDADE DE GENIPAPO;Não Informado;3999;2003-06-11;Inapta;NA LOCALIDADE DE GENIPAPOS/N, ZONA RURAL, Passagem, RN, 59259000;2409209.0;PASSAGEM;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4683429000181;ASSOCIACAO DOS PRODUTORES RURAIS DA SERRA DO LAMEIRO;Não Informado;3999;2001-09-06;Ativa;NA COMUNIDADE DE SERRA DO LAMEIROSN, ZONA RURAL, São Tomé, RN, 59400000;2412906.0;SÃO TOMÉ;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
14538843000150;ASSOCIACAO DOS MOTORISTAS DE TAXI E MOTOTAXI DE RUY BARBOSA RN;Não Informado;3999;2011-04-13;Inapta;RUA FRANCISCO PEDRO139, CENTRO, Ruy Barbosa, RN, 59420000;2411106.0;RUY BARBOSA;RN;94120;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6144008000108;CENTRO INTERDIS DE APOIO AGRIC FAMILIAR DO SEMI ARIDO POTIGUAR CIASP;PEDRA DE ABELHA;3999;2003-12-10;Ativa;RUA PAULO PADRE DE OLIVEIRA460, CENTRO, Felipe Guerra, RN, 59795000;2403707.0;FELIPE GUERRA;RN;94120;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6306210000199;ASSOCIACAO COMUNITARIA JOAQUIM BATISTA BESSA;Não Informado;3999;2004-06-14;Ativa;SITIO ANGICOSS/N, ZONA RURAL, José da Penha, RN, 59980000;2406007.0;JOSÉ DA PENHA;RN;94308;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
